question_id,question_text,question_type,topic,field_date,source_survey,notes
Q001,"Do you support or oppose a policy that would provide universal pre-K education for all 3- and 4-year-olds, funded by increased taxes on households earning over $400,000 per year?",single_choice,education,2024-09-15,Example Survey,NA
Q002,Which message is more persuasive in favor of expanding Medicaid?,maxdiff_pair,healthcare,2024-11-02,Example Survey,NA
Q003,Which of the following issues are most important to you when deciding how to vote in the 2024 presidential election? (Select all that apply),multi_choice,elections,2024-10-20,Example Survey,NA
Q004,"If the election for Congress were held today, would you vote for the Democratic candidate or the Republican candidate in your district?",single_choice,elections,2024-10-28,Example Survey,NA
Q005,Do you have a favorable or unfavorable opinion of Senator Maria Johnson?,single_choice,governance,2024-08-12,Example Survey,NA
Q006,Which message is more persuasive against the housing development proposal?,maxdiff_pair,housing,2024-07-25,Example Survey,NA
Q007,"In your own words, what is the most important issue facing your community right now?",open_end,other,2024-06-10,Example Survey,NA
Q008,Do you approve or disapprove of the way President Biden is handling the economy?,single_choice,economy,2024-11-01,Example Survey,NA
Q009,"Rank the following education priorities in order of importance to you, with 1 being most important.",ranking,education,2024-09-15,Example Survey,NA
Q010,Do you support or oppose Congress passing a continuing resolution to keep the government funded through March 2025?,single_choice,governance,2024-09-28,Example Survey,NA
Q011,"How much do you agree or disagree with the following statement: 'The federal government should forgive up to $10,000 in student loan debt for borrowers earning less than $125,000 per year.'",numeric_scale,education,2024-05-18,Example Survey,NA
Q012,Which of the following sources do you trust to provide accurate information about healthcare policy? (Select all that apply),multi_choice,healthcare,2024-08-22,Example Survey,NA
Q013,Which candidate quality is more important to you?,single_choice,elections,2024-10-15,Example Survey,NA
Q014,How likely are you to vote in the November 2024 election?,numeric_scale,elections,2024-10-05,Example Survey,NA
Q015,"On a scale from 0 to 100, where 0 means very cold or unfavorable, and 100 means very warm or favorable, how do you feel about labor unions?",scale_0_100,labor_unions,2024-07-08,Example Survey,NA
Q016,Do you support or oppose allowing Medicare to negotiate prescription drug prices directly with pharmaceutical companies?,single_choice,healthcare,2024-08-30,Example Survey,NA
Q017,"If Democrats in Congress refuse to pass the budget and force a government shutdown to demand stricter border security measures, would that make you more likely or less likely to vote for Democratic candidates?",numeric_scale,elections,2024-09-22,Example Survey,NA
Q018,Which of the following best describes your current housing situation? (Select all that apply),multi_choice,housing,2024-07-29,Example Survey,NA
Q019,"Compared to one year ago, would you say the economy in your area is getting better or getting worse?",single_choice,economy,2024-10-12,Example Survey,NA
Q020,Which concern about climate policy is most important to you?,single_choice,climate,2024-06-28,Example Survey,NA
Q021,"Do you support or oppose requiring background checks for all gun sales, including private sales and gun shows?",single_choice,guns,2024-04-22,Example Survey,NA
Q022,How confident are you that your vote will be counted accurately in the 2024 election?,numeric_scale,democracy_trust,2024-09-18,Example Survey,NA
Q023,Do you favor or oppose allowing individuals to invest a portion of their Social Security taxes in private retirement accounts?,single_choice,social_security,2024-06-05,Example Survey,NA
Q024,Which statement comes closer to your view about abortion?,single_choice,other,2024-05-30,Example Survey,NA
Q025,"In your own words, what does the American Dream mean to you?",open_end,other,2024-07-14,Example Survey,NA
Q026,Do you think the country is headed in the right direction or is on the wrong track?,single_choice,governance,2024-10-30,Example Survey,NA
Q027,How much do you trust each of the following institutions? The federal government,numeric_scale,democracy_trust,2024-03-12,Example Survey,NA
Q028,Do you support or oppose increasing the federal minimum wage to $15 per hour?,single_choice,economy,2024-07-08,Example Survey,NA
Q029,Which message about infrastructure investment is more convincing?,maxdiff_pair,economy,2024-06-15,Example Survey,NA
Q030,How serious a problem is climate change?,single_choice,climate,2024-06-28,Example Survey,NA
Q031,Do you approve or disapprove of the way your governor is handling their job?,single_choice,governance,2024-08-25,Example Survey,NA
Q032,"Should immigration levels to the United States be increased, decreased, or kept about the same?",single_choice,immigration,2024-09-08,Example Survey,NA
Q033,Which of the following have you done in the past year? (Select all that apply),multi_choice,other,2024-08-03,Example Survey,NA
Q034,How much of a problem is crime in your local community?,single_choice,crime,2024-10-08,Example Survey,NA
Q035,Do you support or oppose providing a pathway to citizenship for undocumented immigrants who were brought to the US as children?,single_choice,immigration,2024-09-08,Example Survey,NA
Q036,Which is more important: protecting the right to own guns or controlling gun ownership?,single_choice,guns,2024-04-22,Example Survey,NA
